method,keypoints_a,keypoints_b,initial_matches,ransac_inliers,inlier_ratio,total_time_sec,overlap_mae,success_rate
ORB,3983.3529411764707,3755.5882352941176,859.3529411764706,749.1764705882352,0.8398561560638161,0.07863542152935064,23.223148404908436,1.0
SIFT,1917.3529411764705,1654.3529411764705,507.8235294117647,424.29411764705884,0.7905003172257165,0.11512870588322745,21.61283857721292,1.0
